Parts	Number	Partition
2	    3	    1+2
 	    4	    1+3
 	    16	    7+9
 	    17	    8+9
3	    6	    1+2+3
 	    7	    1+2+4
 	    23	    6+8+9
 	    24	    7+8+9
4	    10	    1+2+3+4
 	    11	    1+2+3+5
 	    29	    5+7+8+9
 	    30	    6+7+8+9
5	    15	    1+2+3+4+5
 	    16	    1+2+3+4+6
 	    34	    4+6+7+8+9
 	    35	    5+6+7+8+9
6	    21	    1+2+3+4+5+6
 	    22	    1+2+3+4+5+7
 	    38	    3+5+6+7+8+9
 	    39	    4+5+6+7+8+9
7	    28	    1+2+3+4+5+6+7
 	    29	    1+2+3+4+5+6+8
 	    41	    2+4+5+6+7+8+9
 	    42	    3+4+5+6+7+8+9
8	    36	    1+2+3+4+5+6+7+8
 	    37	    1+2+3+4+5+6+7+9
 	    38	    1+2+3+4+5+6+8+9
 	    39	    1+2+3+4+5+7+8+9
 	    40	    1+2+3+4+6+7+8+9
 	    41	    1+2+3+5+6+7+8+9
 	    42	    1+2+4+5+6+7+8+9
 	    43	    1+3+4+5+6+7+8+9
 	    44	    2+3+4+5+6+7+8+9
9	    45	    1+2+3+4+5+6+7+8+9
